"ts","lat","lon","alt","track","speed","vspeed","bank","pitch"
"2026-01-26T21:13:50Z",37.69565,-121.80678,0,90,1,0,"",""
"2026-01-26T21:19:19Z",37.69556,-121.80703,0,90,5,0,"",""
"2026-01-26T21:19:42Z",37.69556,-121.80726,0,90,3,0,"",""
"2026-01-26T21:19:55Z",37.69547,-121.80748,0,90,5,0,"",""
"2026-01-26T21:20:04Z",37.69526,-121.80754,0,90,5,0,"",""
"2026-01-26T21:20:14Z",37.69504,-121.80754,0,90,5,0,"",""
"2026-01-26T21:20:24Z",37.69484,-121.80772,0,90,6,0,"",""
"2026-01-26T21:20:30Z",37.69479,-121.80795,0,267,7,0,"",""
"2026-01-26T21:20:35Z",37.69479,-121.80815,0,270,7,0,"",""
"2026-01-26T21:20:40Z",37.6948,-121.8084,0,270,9,0,"",""
"2026-01-26T21:20:45Z",37.69479,-121.80866,0,272,8,0,"",""
"2026-01-26T21:20:49Z",37.6948,-121.80888,0,270,9,0,"",""
"2026-01-26T21:20:54Z",37.6948,-121.80909,0,272,8,0,"",""
"2026-01-26T21:20:58Z",37.6948,-121.8093,0,270,10,0,"",""
"2026-01-26T21:21:01Z",37.69481,-121.80954,0,270,12,0,"",""
"2026-01-26T21:21:06Z",37.6948,-121.80979,0,270,13,0,"",""
"2026-01-26T21:21:08Z",37.69481,-121.81001,0,270,13,0,"",""
"2026-01-26T21:21:12Z",37.69482,-121.81029,0,272,12,0,"",""
"2026-01-26T21:21:15Z",37.69482,-121.81051,0,270,12,0,"",""
"2026-01-26T21:21:18Z",37.69482,-121.81074,0,270,11,0,"",""
"2026-01-26T21:21:23Z",37.69482,-121.81101,0,264,9,0,"",""
"2026-01-26T21:21:29Z",37.69472,-121.81123,0,244,5,0,"",""
"2026-01-26T21:21:40Z",37.69452,-121.81141,0,255,8,0,"",""
"2026-01-26T21:21:45Z",37.69449,-121.81166,0,270,11,0,"",""
"2026-01-26T21:21:48Z",37.6945,-121.8119,0,270,13,0,"",""
"2026-01-26T21:21:51Z",37.6945,-121.81213,0,270,15,0,"",""
"2026-01-26T21:21:54Z",37.6945,-121.81238,0,270,16,0,"",""
"2026-01-26T21:21:56Z",37.69452,-121.81261,0,270,17,0,"",""
"2026-01-26T21:21:59Z",37.69452,-121.81294,0,270,18,0,"",""
"2026-01-26T21:22:06Z",37.69451,-121.81377,0,272,20,0,"",""
"2026-01-26T21:22:13Z",37.69453,-121.81468,0,270,21,0,"",""
"2026-01-26T21:22:20Z",37.69452,-121.81558,0,272,20,0,"",""
"2026-01-26T21:22:24Z",37.69453,-121.81597,0,272,19,0,"",""
"2026-01-26T21:22:26Z",37.69454,-121.81629,0,270,20,0,"",""
"2026-01-26T21:22:29Z",37.69453,-121.8166,0,270,21,0,"",""
"2026-01-26T21:22:31Z",37.69453,-121.81692,0,270,21,0,"",""
"2026-01-26T21:22:33Z",37.69453,-121.81719,0,270,20,0,"",""
"2026-01-26T21:22:36Z",37.69455,-121.8175,0,270,19,0,"",""
"2026-01-26T21:22:38Z",37.69454,-121.81781,0,270,19,0,"",""
"2026-01-26T21:22:41Z",37.69455,-121.81808,0,270,18,0,"",""
"2026-01-26T21:22:48Z",37.69455,-121.81888,0,270,17,0,"",""
"2026-01-26T21:22:56Z",37.69456,-121.81966,0,270,18,0,"",""
"2026-01-26T21:23:03Z",37.69457,-121.82051,0,270,19,0,"",""
"2026-01-26T21:23:05Z",37.69455,-121.82079,0,272,19,0,"",""
"2026-01-26T21:23:07Z",37.69456,-121.8211,0,270,19,0,"",""
"2026-01-26T21:23:10Z",37.69456,-121.82133,0,270,20,0,"",""
"2026-01-26T21:23:11Z",37.69456,-121.82153,0,270,21,0,"",""
"2026-01-26T21:23:12Z",37.69456,-121.82174,0,272,21,0,"",""
"2026-01-26T21:23:15Z",37.69456,-121.82204,0,270,22,0,"",""
"2026-01-26T21:23:18Z",37.69456,-121.82229,0,270,22,0,"",""
"2026-01-26T21:23:20Z",37.69457,-121.82278,0,270,24,0,"",""
"2026-01-26T21:23:23Z",37.69457,-121.82313,0,270,24,0,"",""
"2026-01-26T21:23:25Z",37.69457,-121.82342,0,270,24,0,"",""
"2026-01-26T21:23:27Z",37.69458,-121.82382,0,272,23,0,"",""
"2026-01-26T21:23:30Z",37.69458,-121.82413,0,270,21,0,"",""
"2026-01-26T21:23:33Z",37.69458,-121.82442,0,270,20,0,"",""
"2026-01-26T21:23:40Z",37.69459,-121.82535,0,270,19,0,"",""
"2026-01-26T21:23:47Z",37.69459,-121.82613,0,270,18,0,"",""
"2026-01-26T21:23:55Z",37.6946,-121.82693,0,270,17,0,"",""
"2026-01-26T21:24:01Z",37.69461,-121.82774,0,270,20,0,"",""
"2026-01-26T21:24:05Z",37.69461,-121.82808,0,272,18,0,"",""
"2026-01-26T21:24:07Z",37.69463,-121.82835,0,272,16,0,"",""
"2026-01-26T21:24:10Z",37.69465,-121.82859,0,286,13,0,"",""
"2026-01-26T21:24:13Z",37.69476,-121.8288,0,306,12,0,"",""
"2026-01-26T21:24:17Z",37.69487,-121.829,0,292,8,0,"",""
"2026-01-26T21:24:25Z",37.69489,-121.82922,0,286,5,0,"",""
"2026-01-26T21:26:39Z",37.69469,-121.82928,0,286,0,0,"",""
"2026-01-26T21:27:09Z",37.69447,-121.82929,0,182,10,0,"",""
"2026-01-26T21:27:15Z",37.69423,-121.82933,0,182,10,0,"",""
"2026-01-26T21:27:20Z",37.69401,-121.82936,0,185,5,0,"",""
"2026-01-26T21:27:29Z",37.69395,-121.82913,0,92,16,0,"",""
"2026-01-26T21:27:31Z",37.69395,-121.8288,0,92,26,64,"",""
"2026-01-26T21:27:32Z",37.69395,-121.82859,0,88,33,0,"",""
"2026-01-26T21:27:34Z",37.69395,-121.82817,0,91,39,-64,"",""
"2026-01-26T21:27:36Z",37.69395,-121.82792,0,90,46,-64,"",""
